seed,window_id,posterior_var,gate
7,0,5.4256908299521456e-08,0.5525220036506653
7,0,1.7299795729286416e-07,0.5522969365119934
7,0,3.4218317068734905e-08,0.55180424451828
7,0,1.1525452237037825e-07,0.5523800253868103
7,0,4.503905870478775e-08,0.5520438551902771
7,0,4.005718778898881e-08,0.5523351430892944
7,0,3.790066571696116e-08,0.5523558259010315
7,0,7.673029500665507e-08,0.5523647665977478
7,0,7.1713152749453e-08,0.5522036552429199
7,0,3.5795018504813925e-08,0.5522244572639465
7,0,3.4760507361397686e-08,0.5523735284805298
7,0,3.894304967388962e-08,0.5523778200149536
7,0,3.557277494792288e-08,0.5523604154586792
7,0,1.788826580195746e-07,0.5523744225502014
7,0,3.6306346373748966e-08,0.5517798066139221
7,0,3.9318475586469503e-08,0.5523713827133179
7,0,3.3265344256960816e-08,0.552358865737915
7,0,3.560767325438974e-08,0.5523839592933655
7,0,4.336325076792491e-08,0.5523742437362671
7,0,4.0620140140390504e-08,0.5523420572280884
7,0,3.567794948367009e-08,0.5523534417152405
7,0,3.7852249334946464e-08,0.5523739457130432
7,0,4.310642509608442e-08,0.5523649454116821
7,0,3.4673909965476923e-08,0.5523431897163391
7,0,3.7635558669535385e-08,0.5523781776428223
7,0,3.489600075567978e-08,0.5523658394813538
7,0,3.686867344754319e-08,0.5523772239685059
7,0,3.687621585868328e-08,0.5523689985275269
7,0,3.6913764489554524e-08,0.5523689985275269
7,0,4.0907192300210227e-08,0.5523688197135925
7,0,6.798731533308455e-08,0.552352249622345
7,0,3.674081128224316e-08,0.5522399544715881
7,0,5.2194440769426365e-08,0.5523695945739746
7,0,3.474094611988221e-08,0.5523054599761963
7,0,3.748742471998412e-08,0.5523778796195984
7,0,3.4882507549127695e-08,0.5523664355278015
7,0,3.475857113244274e-08,0.5523772835731506
7,0,3.596589337462319e-08,0.5523778200149536
7,0,3.7127659169300387e-08,0.5523727536201477
7,0,5.163378702377486e-08,0.5523679852485657
7,0,3.470325182775014e-08,0.5523077845573425
7,0,3.483495447653695e-08,0.5523779988288879
7,0,3.6671035985591516e-08,0.552377462387085
7,0,3.696543160458532e-08,0.5523698329925537
7,0,3.5358620920078465e-08,0.5523686408996582
7,0,3.8273125113619244e-08,0.552375316619873
7,0,3.4651133518082133e-08,0.5523632168769836
7,0,3.8269838853466354e-08,0.552378237247467
7,0,3.479576093923242e-08,0.5523632168769836
7,0,6.076206204852497e-08,0.5523776412010193
7,0,4.895782623748346e-08,0.5522699356079102
7,0,3.4856732611388e-08,0.5523188710212708
7,0,3.6109447876242484e-08,0.5523773431777954
7,0,3.705253703856215e-08,0.5523722171783447
7,0,1.6339660646735865e-07,0.5523682832717896
7,0,4.1457806077005444e-08,0.5518441200256348
7,0,3.560601413710174e-08,0.5523499846458435
7,0,4.3477946576331306e-08,0.5523742437362671
7,0,4.4329027559797396e-08,0.552341639995575
7,0,3.524896641238229e-08,0.5523380637168884
7,0,3.704395723502785e-08,0.5523757338523865
7,0,3.4589934472251116e-08,0.5523682832717896
7,0,3.5353878047317266e-08,0.5523784756660461
7,0,3.961722327971984e-08,0.552375316619873
7,0,3.483173216523028e-08,0.5523576140403748
7,0,3.90051759779908e-08,0.5523775219917297
7,0,3.88943526274943e-08,0.5523601770401001
7,0,3.477135734897274e-08,0.5523605942726135
7,0,3.493997269288229e-08,0.5523777008056641
7,0,3.717278573844851e-08,0.5523770451545715
7,0,3.537326875857616e-08,0.5523677468299866
7,0,3.5615325799653874e-08,0.5523752570152283
7,0,5.049927409572774e-08,0.5523742437362671
7,0,3.9555061448481865e-08,0.5523124933242798
7,0,3.4589284325647895e-08,0.5523579120635986
7,0,3.506473689185441e-08,0.5523784756660461
7,0,3.470220022450121e-08,0.5523765087127686
7,0,3.716558438782158e-08,0.5523779988288879
7,0,7.884836605853707e-08,0.5523678064346313
7,0,4.925453467308216e-08,0.5521948933601379
7,0,3.7741827441095666e-08,0.5523176193237305
7,0,4.70317509382312e-08,0.5523654222488403
7,0,3.918757229826042e-08,0.5523268580436707
7,0,3.531399883627273e-08,0.552359402179718
7,0,3.4808376625505844e-08,0.5523754358291626
7,0,5.6989403418583606e-08,0.5523775815963745
7,0,3.6510122924937605e-08,0.5522855520248413
7,0,5.413859938130372e-08,0.5523704886436462
7,0,3.4686340910639046e-08,0.5522973537445068
7,0,3.966646389130801e-08,0.5523780584335327
